!	!
!!	!!
!((	!((
!)	!)
!-	!-
!mxt	!MXT
!xt	!XT
"નિયમોને	"નિયમોને
'species'	'SPECIES'
'ધૂમકેતુ'	'ધૂમકેતુ'
(!	(!
((	((
(((	(((
)	)
))	))
))!	))!
)))	)))
*	*
-	-
--	--
-૧૯૫૯	-૧૯૫૯
0	0
1	1
1/2	1/2
15924	15924
1911	1911
1986	1986
1b	1B
1c	1C
1d	1D
1x	1X
2	2
2012	2012
2015	2015
2016	2016
2a	2A
3	3
3.0	3.0
3166	3166
3dmet	3DMET
4	4
42	42
4a	4A
4b	4B
5	5
51	51
54	54
5a	5A
6	6
639	639
639-1	639 1
639-2	639 2
639-3	639 3
;	;
=	=
?	?
\	\
a	A
a.c.	A.C.
aaa	AAA
ab	AB
abbr	ABBR
abbreviation	ABBREVIATION
about	ABOUT
academic	ACADEMIC
access	ACCESS
accessibility	ACCESSIBILITY
acf	ACF
active	ACTIVE
acts	ACTS
aden	ADEN
adjacent	ADJACENT
admin	ADMIN
adminship	ADMINSHIP
adolfobs93	ADOLFOBS93
adultfilm	ADULTFILM
af	AF
afd	AFD
afds	AFD +(s)
afds/core	AFDS/CORE
afghanistan	AFGHANISTAN
africa	AFRICA
african	AFRICAN
age	AGE
age/days	AGE/DAYS
age/months	AGE/MONTHS
age/years	AGE/YEARS
agency	AGENCY
ago	AGO
aguas	AGUAS
aguascalientes	AGUASCALIENTES
air	AIR
airline	AIRLINE
airport	AIRPORT
airport/datatable	AIRPORT/DATATABLE
alabama	ALABAMA
aladdin	ALADDIN
alaska	ALASKA
albania	ALBANIA
alberta	ALBERTA
alberth2	ALBERTH2
album	ALBUM
album/link	ALBUM/LINK
alexander	ALEXANDER
alexsh	ALEXSH
algeria	ALGERIA
ali	ALI
alias	ALIAS
align	ALIGN
aligned	ALIGNED
all	ALL
allcaps	ALLCAPS
alleborgobot	ALLEBORGOBOT
allothernames	ALLOTHERNAMES
allothernames/format	ALLOTHERNAMES/FORMAT
allow	ALLOW
almabot	ALMABOT
alnoktabot	ALNOKTABOT
alone	ALONE
also	ALSO
alternative	ALTERNATIVE
ambox	AMBOX
ambox/category	AMBOX/CATEGORY
ambox/core	AMBOX/CORE
american	AMERICAN
amiens984~guwiki	AMIENS984~GUWIKI
amounts	AMOUNTS
amtrak	AMTRAK
an	AN
anas1712	ANAS1712
anb	ANB
