!	!
!!	!!
!((	!((
!)	!)
!-	!-
!mxt	!MXT
!xt	!XT
"ignore	"IGNORE
&	&
'species'	'SPECIES'
(!	(!
((	((
(((	(((
)	)
))	))
))!	))!
)))	)))
-	-
0	0
1	1
1,2-dibromoethane	1,2 DIBROMOETHANE
1.2	1.2
1/2	1/2
10	10
100-ball	100 BALL
102	102
10th	10TH
11	11
11th	11TH
12	12
13	13
13th	13TH
14	14
1486	1486
14th	14TH
15	15
1533	1533
1534	1534
15924	15924
16	16
17	17
18	18
182	182
1844	1844
1857	1857
1870	1870
1897	1897
19	19
1910	1910
1911	1911
1912	1912
1922	1922
1924	1924
1927	1927
1929	1929
1937	1937
1939	1939
1940	1940
1941	1941
1942	1942
1952	1952
1953	1953
1954	1954
1957	1957
1961	1961
1965	1965
1967	1967
1969	1969
1970	1970
1973	1973
1976	1976
1977	1977
1979	1979
1981	1981
1986	1986
1987	1987
1988	1988
1991	1991
1992	1992
1993	1993
1998	1998
1b	1B
1c	1C
1d	1D
1st	1ST
1x	1X
2	2
20	20
2000-rupee	2000 RUPEE
2001	2001
2002	2002
2005	2005
2007	2007
2007–2008	2007–2008
2008	2008
2009	2009
2010	2010
2012	2012
2014	2014
2015	2015
2016	2016
2017	2017
2018	2018
2019	2019
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
2a	2A
2g	2G
3	3
3.0	3.0
3/4	3/4
30	30
31	31
3166	3166
3dmet	3DMET
3g	3G
3rd	3RD
4	4
42	42
4a	4A
4b	4B
4g	4G
4th	4TH
5	5
51	51
54	54
58	58
59	59
5a	5A
5th	5TH
6	6
639	639
639-1	639 1
639-2	639 2
639-3	639 3
6th-century	6TH CENTURY
7	7
731	731
8	8
8th	8TH
9	9
9th	9TH
;	;
=	=
?	?
\	\
a	A
a.	A.
a.c.	A.C.
a.f.c.	A.F.C.
a380	A380
aaa	AAA
aadityana	AADITYANA
aadmi	AADMI
aakash	AAKASH
aalo	AALO
aam	AAM
aambaliyasan	AAMBALIYASAN
aamir	AAMIR
aantaliya	AANTALIYA
aarey	AAREY
aaron	AARON
aarti	AARTI
aavje	AAVJE
aayavej	AAYAVEJ
ab	AB
abacus	ABACUS
abaji	ABAJI
abb	ABB
abbas	ABBAS
abboud	ABBOUD
abbr	ABBR
abbreviation	ABBREVIATION
abdasa	ABDASA
abdominis	ABDOMINIS
abdul	ABDUL
abdulgani	ABDULGANI
abdus	ABDUS
abel	ABEL
abhang	ABHANG
abhay	ABHAY
abhimanyu	ABHIMANYU
abhinandananatha	ABHINANDANANATHA
abhinav	ABHINAV
abhishek	ABHISHEK
abhisheka	ABHISHEKA
abkhazia	ABKHAZIA
abn	ABN
abo	ABO
abolition	ABOLITION
abortion	ABORTION
about	ABOUT
abraham	ABRAHAM
abrama	ABRAMA
abrus	ABRUS
absurdism	ABSURDISM
abu	ABU
abu'l-fazl	ABU'L FAZL
abul	ABUL
abvel	ABVEL
ac/dc	AC/DC
academic	ACADEMIC
access	ACCESS
accessibility	ACCESSIBILITY
account?	ACCOUNT?
accounting	ACCOUNTING
accrual	ACCRUAL
acf	ACF
achala	ACHALA
acharya	ACHARYA
achham	ACHHAM
achhod	ACHHOD
achrekar	ACHREKAR
aconitifolia	ACONITIFOLIA
acrochordus	ACROCHORDUS
act,	ACT,
actinium	ACTINIUM
action	ACTION
activated	ACTIVATED
active	ACTIVE
activism	ACTIVISM
activists	ACTIVISTS
actor	ACTOR
actors	ACTOR +(s)
actresses	ACTRESSES
acts	ACTS
acuminata	ACUMINATA
acupressure	ACUPRESSURE
acutus	ACUTUS
adalaj	ADALAJ
adalja	ADALJA
adam	ADAM
adam's	ADAM'S
adamgarh	ADAMGARH
adan	ADAN
adansonia	ADAN SONIA
adaptation	ADAPTATION
addition	ADDITION
address	ADDRESS
adelaide	ADELAIDE
aden	ADEN
adenanthera	ADENANTHERA
adesar	ADESAR
adhatoda	ADHATODA
adhewada	ADHEWADA
adhik	ADHIK
adhiratha	ADHIRATHA
adho	ADHO
adi	ADI
adidas	ADIDAS
adil	ADIL
adilabad	ADILABAD
adipur	ADIPUR
