!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
"નિયમોને	"@@ ન@@ િય@@ મો@@ ન@@ ે
'species'	'@@ sp@@ e@@ ci@@ es@@ '
'ધૂમકેતુ'	'@@ ધ@@ ૂ@@ મ@@ કે@@ તુ@@ '
(!	(@@ !
((	(@@ (
(((	(@@ (@@ (
)	)
))	)@@ )
))!	)@@ )@@ !
)))	)@@ )@@ )
*	*
-	-
--	-@@ -
-૧૯૫૯	-@@ ૧૯૫@@ ૯
0	0
1	1
1/2	1@@ /@@ 2
15924	1@@ 5@@ 9@@ 2@@ 4
1911	19@@ 1@@ 1
1986	19@@ 8@@ 6
1b	1@@ b
1c	1@@ c
1d	1@@ d
1x	1@@ x
2	2
2012	2@@ 0@@ 1@@ 2
2015	2@@ 0@@ 1@@ 5
2016	2@@ 0@@ 1@@ 6
2a	2@@ a
3	3
3.0	3@@ .@@ 0
3166	3@@ 1@@ 6@@ 6
3dmet	3@@ d@@ me@@ t
4	4
42	4@@ 2
4a	4@@ a
4b	4@@ b
5	5
51	5@@ 1
54	5@@ 4
5a	5@@ a
6	6
639	639
639-1	639@@ -@@ 1
639-2	639@@ -@@ 2
639-3	639@@ -@@ 3
;	;
=	=
?	?
\	\
a	a
a.c.	a@@ .@@ c@@ .
aaa	a@@ a@@ a
ab	a@@ b
abbr	ab@@ b@@ r
abbreviation	ab@@ bre@@ vi@@ ation
about	a@@ bo@@ ut
academic	a@@ ca@@ de@@ m@@ ic
access	ac@@ ce@@ s@@ s
accessibility	ac@@ ce@@ ss@@ ib@@ il@@ it@@ y
acf	ac@@ f
active	a@@ ct@@ ive
acts	a@@ ct@@ s
aden	a@@ de@@ n
adjacent	ad@@ j@@ ac@@ ent
admin	ad@@ m@@ in
adminship	ad@@ m@@ in@@ sh@@ i@@ p
adolfobs93	a@@ do@@ l@@ fo@@ bs@@ 9@@ 3
adultfilm	ad@@ ult@@ f@@ il@@ m
af	a@@ f
afd	af@@ d
afds	af@@ d ⧺s
afds/core	af@@ d@@ s@@ /core
afghanistan	af@@ g@@ h@@ an@@ is@@ tan
africa	af@@ ric@@ a
african	af@@ ric@@ an
age	age
age/days	age@@ /@@ da@@ y@@ s
age/months	age@@ /@@ mont@@ h@@ s
age/years	age@@ /@@ ye@@ ar@@ s
